Freq,Burst,Centrality,Sigma,PageRank,Keyword,Author,Year,Title,Source,Vol,Page,Half-life,ClusterID
3,,0.00,1.00,0.00,,Seto KC,2014,<html><b>...</b></html>,CLIMATE CHANGE 2014: MITIGATION OF CLIMATE CHANGE,0,923,4,-1
3,,0.00,1.00,0.00,,Nomaler O,2014,<html><b>...</b></html>,PLOS ONE,9,0,2,-1
3,,0.00,1.00,0.00,,Melo HPM,2014,<html><b>...</b></html>,SCI REP-UK,4,0,1,-1
3,,0.00,1.00,0.00,,Louf R,2014,<html><b>...</b></html>,J R SOC INTERFACE,11,0,3,-1
3,,0.00,1.00,0.00,,Lenormand M,2014,<html><b>...</b></html>,PLOS ONE,9,0,1,-1
3,,0.01,1.00,0.00,,Kander A,2014,<html><b>...</b></html>,POWER PEOPLE ENERGY,0,0,2,-1
3,,0.01,1.00,0.00,,Costanza R,2014,<html><b>...</b></html>,GLOBAL ENVIRON CHANG,26,152,3,-1
3,,0.00,1.00,0.00,,Amini A,2014,<html><b>...</b></html>,EPJ DATA SCI,3,0,2,-1
2,,0.00,1.00,0.00,,Qu WY,2014,<html><b>...</b></html>,URBAN ECOSYST,17,723,5,-1
2,,0.00,1.00,0.00,,Kuang WH,2014,<html><b>...</b></html>,LANDSCAPE URBAN PLAN,132,121,5,-1
142,14.20,0.11,4.22,0.00,,Bettencourt LMA,2013,<html><b>...</b></html>,SCIENCE,340,1438,3,-1
36,6.44,0.06,1.44,0.00,,Batty M,2013,<html><b>...</b></html>,NEW SCI CITIES,0,0,4,-1
34,3.20,0.24,1.97,0.00,,Fragkias M,2013,<html><b>...</b></html>,PLOS ONE,8,0,4,-1
26,3.48,0.11,1.43,0.00,,Pan W,2013,<html><b>...</b></html>,NAT COMMUN,4,0,3,-1
25,4.13,0.01,1.06,0.00,,Lobo J,2013,<html><b>...</b></html>,PLOS ONE,8,0,3,-1
19,,0.01,1.00,0.00,,Alves LGA,2013,<html><b>...</b></html>,PLOS ONE,8,0,4,-1
16,,0.01,1.00,0.00,,Batty M,2013,<html><b>...</b></html>,SCIENCE,340,1418,4,-1
8,,0.01,1.00,0.00,,Alves LGA,2013,<html><b>...</b></html>,PHYSICA A,392,2672,2,-1
7,,0.01,1.00,0.00,,Louf R,2013,<html><b>...</b></html>,PHYS REV LETT,111,0,2,-1
4,,0.00,1.00,0.00,,Strano E,2013,<html><b>...</b></html>,ENVIRON PLANN B,40,1071,4,-1
4,,0.00,1.00,0.00,,Rybski D,2013,<html><b>...</b></html>,PHYS REV E,87,0,2,-1
4,,0.00,1.00,0.00,,Frolking S,2013,<html><b>...</b></html>,ENVIRON RES LETT,8,0,2,-1
4,,0.00,1.00,0.00,,Derex M,2013,<html><b>...</b></html>,NATURE,503,389,3,-1
3,,0.00,1.00,0.00,,Wiedenhofer D,2013,<html><b>...</b></html>,ENERG POLICY,63,696,3,-1
3,,0.01,1.00,0.00,,Swilling M,2013,<html><b>...</b></html>,CITY LEVEL DECOUPLIN,0,0,4,-1
3,,0.00,1.00,0.00,,Sole RV,2013,<html><b>...</b></html>,COMPLEXITY,18,15,3,-1
3,,0.00,1.00,0.00,,Sobolevsky S,2013,<html><b>...</b></html>,PLOS ONE,8,0,3,-1
3,,0.00,1.00,0.00,,Schneider CM,2013,<html><b>...</b></html>,J R SOC INTERFACE,10,0,2,-1
3,,0.00,1.00,0.00,,Nevens F,2013,<html><b>...</b></html>,J CLEAN PROD,50,111,3,-1
3,,0.00,1.00,0.00,,Minx J,2013,<html><b>...</b></html>,ENVIRON RES LETT,8,0,5,-1
3,,0.01,1.00,0.00,,Marcotullio PJ,2013,<html><b>...</b></html>,CLIMATIC CHANGE,121,621,4,-1
3,,0.00,1.00,0.00,,Lamsal LN,2013,<html><b>...</b></html>,ENVIRON SCI TECHNOL,47,7855,3,-1
3,,0.00,1.00,0.00,,Kubiszewski I,2013,<html><b>...</b></html>,ECOL ECON,93,57,3,-1
